#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.9	1.0e+00	<NULL>	<NULL>	1	<NULL>
-22.6	4.2e-01	1.00000	1.00000	0.43331	0.437094
-22.5	4.1e-01	1.00000	1.00000	0.428308	0.431963
-22.4	4.1e-01	1.00000	1.00000	0.423279	0.426842
-22.3	4.0e-01	1.00000	1.00000	0.418109	0.421914
-22.2	4.0e-01	1.00000	1.00000	0.41304	0.416883
-22.1	3.9e-01	1.00000	1.00000	0.40808	0.412115
-22	3.9e-01	1.00000	1.00000	0.402066	0.407388
-21.9	3.8e-01	1.00000	1.00000	0.397317	0.40144
-21.8	3.8e-01	1.00000	1.00000	0.392619	0.39683
-21.7	3.7e-01	1.00000	1.00000	0.38805	0.392237
-21.6	3.7e-01	1.00000	1.00000	0.383588	0.387802
-21.5	3.6e-01	1.00000	1.00000	0.379148	0.383358
-21.4	3.6e-01	1.00000	1.00000	0.374937	0.378913
-21.3	3.6e-01	1.00000	1.00000	0.370741	0.374658
-21.2	3.5e-01	1.00000	1.00000	0.36667	0.37039
-21.1	3.5e-01	1.00000	1.00000	0.362615	0.36634
-21	3.4e-01	1.00000	1.00000	0.358787	0.36227
-20.9	3.4e-01	1.00000	1.00000	0.354933	0.358304
-20.8	3.4e-01	1.00000	1.00000	0.351184	0.354388
-20.7	3.3e-01	1.00000	1.00000	0.347501	0.350509
-20.6	3.3e-01	1.00000	1.00000	0.343808	0.346794
-20.5	3.2e-01	1.00000	1.00000	0.340221	0.342946
-20.4	3.2e-01	1.00000	1.00000	0.336784	0.33933
-20.3	3.2e-01	1.00000	1.00000	0.333374	0.335635
-20.2	3.1e-01	1.00000	1.00000	0.33006	0.332116
-20.1	3.1e-01	1.00000	1.00000	0.326662	0.328702
-20	3.1e-01	1.00000	1.00000	0.323394	0.325289
-19.9	3.0e-01	1.00000	1.00000	0.318845	0.322055
-19.8	3.0e-01	1.00000	1.00000	0.315604	0.317496
-19.7	3.0e-01	1.00000	1.00000	0.312327	0.314248
-19.6	3.0e-01	1.00000	1.00000	0.30907	0.311088
-19.5	2.9e-01	1.00000	1.00000	0.305811	0.307817
-19.4	2.9e-01	1.00000	1.00000	0.302689	0.304668
-19.3	2.9e-01	1.00000	1.00000	0.299497	0.30152
-19.2	2.8e-01	1.00000	1.00000	0.296356	0.29826
-19.1	2.8e-01	1.00000	1.00000	0.2931	0.295133
-19	2.8e-01	1.00000	1.00000	0.289881	0.291878
-18.9	2.7e-01	1.00000	1.00000	0.286587	0.288588
-18.8	2.7e-01	1.00000	1.00000	0.283282	0.285459
-18.7	2.7e-01	1.00000	1.00000	0.280049	0.282259
-18.6	2.6e-01	1.00000	1.00000	0.276756	0.279028
-18.5	2.6e-01	1.00000	1.00000	0.273406	0.275824
-18.4	2.6e-01	1.00000	1.00000	0.270043	0.272448
-18.3	2.6e-01	1.00000	1.00000	0.266648	0.269086
-18.2	2.5e-01	1.00000	1.00000	0.263199	0.265776
-18.1	2.5e-01	1.00000	1.00000	0.259731	0.262357
-18	2.5e-01	1.00000	1.00000	0.2563	0.259031
-17.9	2.4e-01	1.00000	1.00000	0.252704	0.255601
-17.8	2.4e-01	1.00000	1.00000	0.249183	0.252139
-17.7	2.4e-01	1.00000	1.00000	0.245599	0.248663
-17.6	2.3e-01	1.00000	1.00000	0.241959	0.245151
-17.5	2.3e-01	1.00000	1.00000	0.23838	0.241644
-17.4	2.3e-01	1.00000	1.00000	0.234771	0.238121
-17.3	2.2e-01	1.00000	1.00000	0.231091	0.234643
-17.2	2.2e-01	1.00000	1.00000	0.22748	0.231087
-17.1	2.2e-01	1.00000	1.00000	0.223854	0.227651
-17	2.1e-01	1.00000	1.00000	0.220221	0.224127
-16.9	2.1e-01	1.00000	1.00000	0.216564	0.220675
-16.8	2.0e-01	1.00000	1.00000	0.212945	0.217197
-16.7	2.0e-01	1.00000	1.00000	0.209227	0.213632
-16.6	2.0e-01	1.00000	1.00000	0.205675	0.210123
-16.5	1.9e-01	1.00000	1.00000	0.202057	0.206607
-16.4	1.9e-01	1.00000	1.00000	0.198577	0.203088
-16.3	1.9e-01	1.00000	1.00000	0.195058	0.199557
-16.2	1.8e-01	1.00000	1.00000	0.191587	0.196003
-16.1	1.8e-01	1.00000	1.00000	0.18806	0.192476
-16	1.8e-01	1.00000	1.00000	0.184577	0.188959
-15.9	1.7e-01	1.00000	1.00000	0.181006	0.185415
-15.8	1.7e-01	1.00000	1.00000	0.177562	0.181978
-15.7	1.7e-01	1.00000	1.00000	0.174235	0.178513
-15.6	1.6e-01	1.00000	1.00000	0.170975	0.175166
-15.5	1.6e-01	1.00000	1.00000	0.167827	0.171767
-15.4	1.6e-01	1.00000	1.00000	0.164714	0.168531
-15.3	1.5e-01	1.00000	1.00000	0.161603	0.165198
-15.2	1.5e-01	1.00000	1.00000	0.158592	0.161902
-15.1	1.5e-01	1.00000	1.00000	0.15549	0.158767
-15	1.5e-01	1.00000	1.00000	0.152521	 0.1556
-14.9	1.4e-01	1.00000	1.00000	0.149594	0.152623
-14.8	1.4e-01	1.00000	1.00000	0.146764	0.149666
-14.7	1.4e-01	1.00000	1.00000	0.144084	0.146795
-14.6	1.3e-01	1.00000	1.00000	0.14151	0.144062
-14.5	1.3e-01	1.00000	1.00000	0.13901	0.141386
-14.4	1.3e-01	1.00000	1.00000	0.136658	0.138747
-14.3	1.3e-01	1.00000	1.00000	0.134305	0.13622
-14.2	1.2e-01	1.00000	1.00000	0.131986	0.13375
-14.1	1.2e-01	1.00000	1.00000	0.129655	0.13131
-14	1.2e-01	1.00000	1.00000	0.127342	0.128983
-13.9	1.2e-01	1.00000	1.00000	0.125139	0.126666
-13.8	1.2e-01	1.00000	1.00000	0.12303	0.124367
-13.7	1.1e-01	1.00000	1.00000	0.121056	0.122245
-13.6	1.1e-01	1.00000	1.00000	0.119164	0.120132
-13.5	1.1e-01	1.00000	1.00000	0.117298	0.118165
-13.4	1.1e-01	1.00000	1.00000	0.115527	0.116223
-13.3	1.1e-01	1.00000	1.00000	0.113749	0.114281
-13.2	1.0e-01	1.00000	1.00000	0.112048	0.112462
-13.1	1.0e-01	1.00000	1.00000	0.110335	0.110595
-13	1.0e-01	1.00000	1.00000	0.108673	0.108848
-12.9	9.9e-02	1.00000	1.00000	0.107092	0.107068
-12.8	9.7e-02	1.00000	1.00000	0.105522	0.105363
-12.7	9.5e-02	1.00000	1.00000	0.10399	0.103781
-12.6	9.4e-02	1.00000	1.00000	0.10252	0.102177
-12.5	9.2e-02	1.00000	1.00000	0.101003	0.100701
-12.4	9.1e-02	1.00000	1.00000	0.0996088	0.0992022
-12.3	9.0e-02	1.00000	1.00000	0.098257	0.0977097
-12.2	8.8e-02	1.00000	1.00000	0.0969369	0.0962686
-12.1	8.7e-02	1.00000	1.00000	0.0955068	0.0948458
-12	8.6e-02	1.00000	1.00000	0.0940797	0.0934404
-11.9	8.4e-02	1.00000	1.00000	0.0926373	0.0919771
-11.8	8.3e-02	1.00000	1.00000	0.0912375	0.0905987
-11.7	8.2e-02	1.00000	1.00000	0.0897791	0.0891793
-11.6	8.0e-02	1.00000	1.00000	0.0883733	0.0877856
-11.5	7.9e-02	1.00000	1.00000	0.0869748	0.0864125
-11.4	7.8e-02	1.00000	1.00000	0.0856061	0.0849982
-11.3	7.7e-02	1.00000	1.00000	0.0842065	0.0836002
-11.2	7.5e-02	1.00000	1.00000	0.0828572	0.0822323
-11.1	7.4e-02	1.00000	1.00000	0.0814792	0.0808152
-11	7.3e-02	1.00000	1.00000	0.0800506	0.0794453
-10.9	7.2e-02	1.00000	1.00000	0.0785712	0.0780484
-10.8	7.0e-02	1.00000	1.00000	0.0771296	0.0765927
-10.7	6.9e-02	1.00000	1.00000	0.0756272	0.0751358
-10.6	6.8e-02	1.00000	1.00000	0.074121	0.0736993
-10.5	6.6e-02	1.00000	1.00000	0.0725231	0.0722312
-10.4	6.5e-02	1.00000	1.00000	0.0709912	0.0707907
-10.3	6.4e-02	1.00000	1.00000	0.0695237	0.0693457
-10.2	6.2e-02	1.00000	1.00000	0.0680978	0.0678987
-10.1	6.1e-02	1.00000	1.00000	0.0666714	0.0664719
-10	6.0e-02	1.00000	1.00000	0.0653332	0.0649934
-9.9	5.9e-02	1.00000	1.00000	0.0639321	0.063553
